t0;300;;Nombre Delta;1568;;Max Delta;3276
alpha;0.7;;Nombre Degradation;81;;Moyenne Exp;0.251849
nbPalier;5;;Nombre Temperature;5;;Moyenne Delta;506
nbEvalMax;6000

Temp;Delta < 0;Delta > 0 && Non;Delta > 0 && Oui
300;249;21;31
210;246;30;24
147;239;51;10
102.9;236;54;10
72.03;296;65;6






numInc;Delta;Temp;exp(-d/T);degradation
208;621;300;0.126186;1
209;3276;300;1.80927e-05;0
211;381;300;0.280832;1
212;1221;300;0.0170774;0
213;-54;300;-1;-1
221;-144;300;-1;-1
223;-381;300;-1;-1
225;-340;300;-1;-1
227;-56;300;-1;-1
229;-77;300;-1;-1
231;184;300;0.541543;1
236;56;300;0.82972;1
238;164;300;0.578876;1
240;-140;300;-1;-1
242;-51;300;-1;-1
246;126;300;0.657047;1
247;-14;300;-1;-1
250;14;300;0.954405;1
254;65;300;0.805198;1
259;-140;300;-1;-1
267;1357;300;0.0108528;0
269;49;300;0.849308;1
274;-269;300;-1;-1
279;17;300;0.944909;1
280;-302;300;-1;-1
290;-350;300;-1;-1
294;1520;300;0.0063034;0
295;1007;300;0.0348512;0
297;18;300;0.941765;1
301;-158;210;-1;-1
305;382;210;0.16218;0
309;-620;210;-1;-1
318;172;210;0.440851;1
321;184;210;0.416366;0
325;1116;210;0.00492079;0
326;780;210;0.0243728;0
338;-92;210;-1;-1
339;-36;210;-1;-1
344;200;210;0.385821;1
352;184;210;0.416366;1
359;106;210;0.603649;1
362;90;210;0.651439;1
364;196;210;0.393241;1
365;163;210;0.460156;1
366;-13;210;-1;-1
380;-84;210;-1;-1
383;-145;210;-1;-1
384;-113;210;-1;-1
386;1077;210;0.00592502;0
390;42;210;0.818731;1
391;629;210;0.0500247;1
392;370;210;0.171717;0
393;120;210;0.564718;1
394;-123;210;-1;-1
395;98;210;0.627089;0
401;57;210;0.76229;1
403;-122;210;-1;-1
405;-276;210;-1;-1
409;83;210;0.67352;1
410;53;210;0.776949;1
411;965;210;0.0100998;0
412;185;210;0.414388;1
413;152;210;0.484901;0
415;-263;210;-1;-1
417;-303;210;-1;-1
419;-237;210;-1;-1
421;550;210;0.0728722;0
423;841;210;0.0182286;0
429;-86;210;-1;-1
435;86;210;0.663966;1
436;230;210;0.33446;0
437;-146;210;-1;-1
438;-24;210;-1;-1
439;401;210;0.148151;0
440;-110;210;-1;-1
444;24;210;0.892003;1
446;1245;210;0.00266228;0
454;60;210;0.751477;0
459;799;210;0.0222645;0
461;-24;210;-1;-1
463;-111;210;-1;-1
468;561;210;0.0691534;0
469;126;210;0.548812;1
470;-96;210;-1;-1
472;699;210;0.0358443;1
474;-239;210;-1;-1
476;239;210;0.320429;0
477;-259;210;-1;-1
481;1662;210;0.000365485;0
483;259;210;0.29132;1
490;-188;210;-1;-1
491;63;210;0.740818;1
500;1676;210;0.000341914;0
503;760;210;0.0268082;0
506;237;210;0.323495;1
516;-30;210;-1;-1
518;-207;210;-1;-1
520;1031;210;0.007376;0
530;-13;210;-1;-1
533;-42;210;-1;-1
546;326;210;0.211743;0
550;913;210;0.0129376;1
551;-105;210;-1;-1
554;412;210;0.14059;0
556;-264;210;-1;-1
558;-78;210;-1;-1
566;269;210;0.277773;0
569;-54;210;-1;-1
575;36;210;0.84246;1
576;132;210;0.533353;1
584;435;210;0.126006;0
590;813;210;0.0208286;0
591;-104;210;-1;-1
593;192;210;0.400803;0
595;96;210;0.63309;0
596;805;210;0.0216374;0
597;-856;210;-1;-1
610;146;147;0.370391;0
612;184;147;0.286018;1
614;-46;147;-1;-1
617;-14;147;-1;-1
621;-75;147;-1;-1
624;1371;147;8.90306e-05;0
626;456;147;0.0449574;0
632;46;147;0.731305;1
633;773;147;0.00520309;0
641;7;147;0.953497;1
651;1045;147;0.00081784;0
654;75;147;0.600373;0
659;267;147;0.162622;0
661;148;147;0.365385;0
672;28;147;0.826565;1
673;120;147;0.442053;0
678;27;147;0.832208;1
692;268;147;0.16152;0
693;317;147;0.115734;0
700;161;147;0.33446;0
702;267;147;0.162622;0
706;889;147;0.00236348;0
713;210;147;0.239651;0
715;161;147;0.33446;0
720;88;147;0.549559;0
731;35;147;0.788128;1
732;1461;147;4.82664e-05;0
735;306;147;0.124726;0
743;336;147;0.101701;0
744;-128;147;-1;-1
747;282;147;0.146847;0
748;282;147;0.146847;0
749;-35;147;-1;-1
753;165;147;0.325482;0
756;30;147;0.815396;1
757;-30;147;-1;-1
762;230;147;0.209166;0
766;1469;147;4.57098e-05;0
769;35;147;0.788128;1
770;266;147;0.163732;0
772;533;147;0.0266264;0
774;276;147;0.152964;0
779;798;147;0.00438936;0
782;-35;147;-1;-1
783;293;147;0.136259;0
787;588;147;0.0183156;0
791;18;147;0.884751;0
793;617;147;0.0150364;0
795;617;147;0.0150364;0
801;617;147;0.0150364;0
802;115;147;0.457347;0
804;290;147;0.139068;0
805;-97;147;-1;-1
810;617;147;0.0150364;0
817;392;147;0.0694835;0
820;255;147;0.176454;0
824;645;147;0.0124286;0
827;-75;147;-1;-1
832;111;147;0.469963;0
833;984;147;0.00123847;0
849;97;147;0.516922;0
851;232;147;0.20634;0
853;1624;147;1.5925e-05;0
858;470;147;0.0408733;0
859;256;147;0.175258;0
863;390;147;0.0704353;0
869;208;147;0.242934;0
875;130;147;0.412981;1
879;-130;147;-1;-1
888;96;147;0.52045;1
892;-96;147;-1;-1
899;2654;147;1.44233e-08;0
904;871;102.9;0.000210815;0
913;204;102.9;0.137723;0
914;472;102.9;0.0101836;0
919;323;102.9;0.0433274;1
920;319;102.9;0.0450448;0
926;-231;102.9;-1;-1
929;231;102.9;0.105938;0
933;1960;102.9;5.34225e-09;0
934;156;102.9;0.219581;0
939;299;102.9;0.0547086;0
940;2293;102.9;2.1003e-10;0
945;-24;102.9;-1;-1
950;578;102.9;0.00363515;0
951;252;102.9;0.0863817;0
952;-92;102.9;-1;-1
953;2381;102.9;8.93044e-11;0
957;29;102.9;0.754404;1
958;813;102.9;0.000370419;0
959;208;102.9;0.132473;1
960;106;102.9;0.356962;0
962;425;102.9;0.0160793;0
965;-128;102.9;-1;-1
966;128;102.9;0.28825;0
973;-80;102.9;-1;-1
982;82;102.9;0.450728;1
984;80;102.9;0.459575;1
987;1999;102.9;3.65698e-09;0
991;128;102.9;0.28825;0
993;657;102.9;0.00168694;0
994;657;102.9;0.00168694;0
1001;92;102.9;0.408987;0
1003;392;102.9;0.0221587;0
1005;296;102.9;0.0563271;1
1006;-308;102.9;-1;-1
1009;140;102.9;0.256521;0
1012;498;102.9;0.00790982;0
1013;-68;102.9;-1;-1
1015;68;102.9;0.51642;0
1017;76;102.9;0.477791;0
1034;92;102.9;0.408987;1
1036;698;102.9;0.00113255;0
1042;184;102.9;0.16727;0
1043;-56;102.9;-1;-1
1045;1046;102.9;3.84863e-05;0
1049;56;102.9;0.580296;1
1051;-92;102.9;-1;-1
1052;414;102.9;0.0178934;0
1059;736;102.9;0.000782845;0
1061;25;102.9;0.784307;1
1062;430;102.9;0.0153167;0
1063;1742;102.9;4.4443e-08;0
1067;-25;102.9;-1;-1
1068;554;102.9;0.00459003;0
1088;894;102.9;0.000168589;0
1091;783;102.9;0.000495804;0
1093;783;102.9;0.000495804;0
1096;283;102.9;0.0639123;0
1097;-5;102.9;-1;-1
1099;1231;102.9;6.37535e-06;0
1102;578;102.9;0.00363515;0
1106;1666;102.9;9.30177e-08;0
1118;202;102.9;0.140427;0
1126;1771;102.9;3.3528e-08;0
1129;283;102.9;0.0639123;0
1146;783;102.9;0.000495804;0
1147;689;102.9;0.00123607;0
1169;24;102.9;0.791967;1
1171;-24;102.9;-1;-1
1172;342;102.9;0.0360224;0
1175;613;102.9;0.00258704;0
1178;76;102.9;0.477791;0
1185;345;102.9;0.0349873;0
1192;801;102.9;0.000416237;0
1195;269;102.9;0.0732272;0
1197;126;102.9;0.293908;0
1200;640;72.03;0.000138424;0
1207;496;72.03;0.00102197;0
1211;213;72.03;0.0519693;0
1221;4;72.03;0.945981;1
1223;-82;72.03;-1;-1
1225;403;72.03;0.0037168;0
1228;76;72.03;0.348152;0
1236;316;72.03;0.0124372;0
1239;-4;72.03;-1;-1
1243;644;72.03;0.000130947;0
1245;1841;72.03;7.94248e-12;0
1257;5;72.03;0.932939;1
1267;226;72.03;0.0433876;0
1269;192;72.03;0.0695607;0
1271;192;72.03;0.0695607;0
1273;192;72.03;0.0695607;0
1277;226;72.03;0.0433876;0
1284;1509;72.03;7.97448e-10;0
1287;4;72.03;0.945981;1
1288;732;72.03;3.85933e-05;0
1289;1633;72.03;1.42581e-10;0
1291;316;72.03;0.0124372;0
1297;350;72.03;0.00775757;0
1300;-4;72.03;-1;-1
1303;343;72.03;0.00854931;0
1308;82;72.03;0.320326;0
1309;212;72.03;0.0526959;0
1317;212;72.03;0.0526959;0
1323;44;72.03;0.542886;0
1326;4;72.03;0.945981;1
1327;668;72.03;9.38405e-05;0
1346;801;72.03;1.48077e-05;0
1347;106;72.03;0.229556;0
1349;-4;72.03;-1;-1
1359;578;72.03;0.000327365;0
1364;202;72.03;0.0605439;0
1371;936;72.03;2.2726e-06;0
1372;82;72.03;0.320326;0
1384;329;72.03;0.0103835;0
1385;2465;72.03;1.3729e-15;0
1389;370;72.03;0.00587677;0
1401;1553;72.03;4.32923e-10;0
1404;2233;72.03;3.43913e-14;0
1410;390;72.03;0.00445196;0
1414;787;72.03;1.79845e-05;0
1418;40;72.03;0.573886;0
1420;1553;72.03;4.32923e-10;0
1424;2233;72.03;3.43913e-14;0
1441;106;72.03;0.229556;0
1450;2023;72.03;6.34766e-13;0
1461;406;72.03;0.00356518;0
1462;732;72.03;3.85933e-05;0
1483;576;72.03;0.000336582;0
1485;576;72.03;0.000336582;0
1490;2023;72.03;6.34766e-13;0
1500;406;72.03;0.00356518;0
1502;314;72.03;0.0127874;0
1505;76;72.03;0.348152;0
1508;394;72.03;0.00421147;0
1509;1624;72.03;1.61557e-10;0
1510;76;72.03;0.348152;1
1513;440;72.03;0.00222374;0
1515;440;72.03;0.00222374;0
1518;1679;72.03;7.52856e-11;0
1521;21;72.03;0.747108;0
1526;578;72.03;0.000327365;0
1531;305;72.03;0.0144893;0
1534;137;72.03;0.149272;0
1535;922;72.03;2.76016e-06;0
1536;330;72.03;0.0102403;0
1547;-76;72.03;-1;-1
1548;24;72.03;0.716631;1
1550;-24;72.03;-1;-1
1555;270;72.03;0.0235545;0
1556;40;72.03;0.573886;0
1557;674;72.03;8.63405e-05;0
1563;270;72.03;0.0235545;0
1565;49;72.03;0.506479;0
