t0;300;;Nombre Delta;1546;;Max Delta;3066
alpha;0.6;;Nombre Degradation;35;;Moyenne Exp;0.162951
nbPalier;5;;Nombre Temperature;5;;Moyenne Delta;741
nbEvalMax;6000

Temp;Delta < 0;Delta > 0 && Non;Delta > 0 && Oui
300;257;32;12
180;246;45;9
108;252;37;11
64.8;243;54;3
38.88;287;58;0






numInc;Delta;Temp;exp(-d/T);degradation
1356;200;38.88;0.00583411;0
1361;102;38.88;0.0725516;0
1364;1255;38.88;9.5828e-15;0
1376;110;38.88;0.059059;0
1382;1470;38.88;3.80115e-17;0
1391;494;38.88;3.0336e-06;0
1392;2060;38.88;9.76206e-24;0
1394;110;38.88;0.059059;0
1403;1633;38.88;5.74361e-19;0
1407;220;38.88;0.00348797;0
1411;1156;38.88;1.22274e-13;0
1412;1358;38.88;6.77594e-16;0
1418;220;38.88;0.00348797;0
1420;1156;38.88;1.22274e-13;0
1428;235;38.88;0.00237149;0
1431;2180;38.88;4.45786e-25;0
1454;60;38.88;0.213694;0
1471;463;38.88;6.73336e-06;0
1474;81;38.88;0.124514;0
1475;106;38.88;0.0654586;0
1484;932;38.88;3.88546e-11;0
1485;2149;38.88;9.89464e-25;0
1487;463;38.88;6.73336e-06;0
1494;1132;38.88;2.26682e-13;0
1513;2478;38.88;2.09136e-28;0
1519;1354;38.88;7.51017e-16;0
1521;561;38.88;5.41451e-07;0
1525;2076;38.88;6.46873e-24;0
